dataset,depth,threads,time_sec,accuracy,misclassification
fault,4,3,599.966,0.718187,547
fault,4,4,599.99,0.718187,547
fault,4,5,599.909,0.718187,547
fault,4,6,599.959,0.719217,545
fault,4,7,599.973,0.717671,548
fault,4,8,599.943,0.718187,547
fault,4,9,600.132,0.717671,548
fault,4,10,599.844,0.717671,548
fault,4,11,599.859,0.727975,528
fault,4,12,602.489,0.743431,498
fault,4,13,599.341,0.743431,498
fault,4,14,600.019,0.743431,498
fault,4,15,600.029,0.743431,498
fault,4,16,599.814,0.743431,498
fault,4,32,601.942,0.743431,498
